縣市,學校,學前,國小,國中,高中職
新北市,新北特殊教育學校,0,0,1,258
宜蘭縣,宜蘭特殊教育學校,0,0,18,73
桃園市,桃園特殊教育學校,0,0,35,320
新竹縣,新竹特殊教育學校,0,47,33,114
臺中市,惠明盲校,4,26,16,11
臺中市,臺中啟明學校,8,6,20,60
彰化縣,和美實驗學校,5,36,62,132
彰化縣,彰化特殊教育學校,10,37,49,171
南投縣,南投特殊教育學校,0,29,23,62
臺南市,臺南大學附屬啟聰學校,22,37,15,68
高雄市,仁武特殊教育學校,7,23,28,53
屏東縣,屏東特殊教育學校,0,26,21,111
臺東縣,臺東大學附屬特教學校,0,20,29,53
花蓮縣,花蓮特殊教育學校,0,17,27,60
臺中市,臺中特殊教育學校,23,0,0,262
臺中市,臺中啟聰學校,32,48,40,89
嘉義市,嘉義特殊教育學校,4,49,47,105
臺南市,臺南特殊教育學校,8,48,37,148
雲林縣,雲林特殊教育學校,14,38,32,98
臺北市,臺北市立啟聰學校,32,30,20,46
臺北市,臺北特殊教育學校,16,18,30,138
臺北市,臺北市立啟明學校,22,6,20,31
臺北市,文山特殊教育學校,25,25,19,112
基隆市,基隆特殊教育學校,0,11,8,86
高雄市,楠梓特殊學校,0,19,22,83
高雄市,成功特殊教育學校,0,13,31,83
高雄市,高雄特殊教育學校,0,27,32,79
苗栗縣,苗栗特殊教育學校,0,0,23,82
